Place id,Parent id,Place name,Related objects,Title
1477,43,Bīt-Bēlšunu,6577,Bīt-Bēlšunu
1461,70,Bāb-ṣubbāti,2514,Bāb-ṣubbāti
1441,43,Alu-ša-Nabû,6251,Alu-ša-Nabû
1424,82,Ruˀa,5710,Ruˀa
1402,37,Pāni-abul-Enlil,4454,Pāni-abul-Enlil
1351,70,Yāhūdu,2284,Yāhūdu
1300,61,Ta'ūti,,Ta'ūti
1252,61,Šīhu-ša-Bīt-Sîn-iškun,,Šīhu-ša-Bīt-Sîn-iškun
1204,61,Rūdaja,,Rūdaja
1153,61,Nagarāja,,Nagarāja
1105,61,Kapri-ša-nāqidāti,,Kapri-ša-nāqidāti
1057,61,Huṣṣēti-ša-Amassu,,Huṣṣēti-ša-Amassu
1009,61,Harrūbati,,Harrūbati
961,61,Dūru,,Dūru
913,61,Bīt-Šaddajnu,,Bīt-Šaddajnu
865,61,Bīt-Guppu,,Bīt-Guppu
817,61,Balnamhe,,Balnamhe
769,61,Apramātu,,Apramātu
721,61,Ālu-ša-ikkarē,,Ālu-ša-ikkarē
673,40,Til-Gabbāri,1522,Til-Gabbāri
